census,family,SDM_alpha,SR,DC
3,Lacistemataceae,1.799,2,2.006089749
4,Lacistemataceae,1.798,2,1.873627998
5,Lacistemataceae,1.815,2,1.613527185
6,Lacistemataceae,2.007,2,1.505482756
7,Lacistemataceae,2.042,2,1.501902631
8,Lacistemataceae,2.13,2,1.52118206
1,Achariaceae,0.364,1,1.258461315
2,Achariaceae,0.474,1,1.191394353
3,Achariaceae,0.378,1,1.217863179
4,Achariaceae,0.304,1,1.267147051
5,Achariaceae,0.19,1,1.395020242
6,Achariaceae,0.196,1,1.292817305
7,Achariaceae,0.104,1,1.67592187
8,Achariaceae,0.198,1,1.181071173
1,Malpighiaceae,0.015,2,5.877479448
2,Malpighiaceae,0.018,2,4.966089327
3,Malpighiaceae,0.021,2,4.013303794
4,Malpighiaceae,0.019,2,4.089733325
5,Malpighiaceae,0.019,2,3.904578208
6,Malpighiaceae,0.017,2,3.923138511
7,Malpighiaceae,0.019,2,3.262882647
8,Malpighiaceae,0.022,2,3.118557591
1,Celastraceae,3123.693,1,0.998580683
2,Celastraceae,3.067,1,1.021326152
3,Celastraceae,2.161,1,1.032008586
4,Celastraceae,6.553,1,1.010714955
5,Celastraceae,18.893,1,1.003390948
6,Celastraceae,1.603,1,1.036829464
7,Celastraceae,3.366,1,1.017135787
8,Celastraceae,3.813,1,1.015335345
1,Picramniaceae,1.535,1,1.682439969
2,Picramniaceae,1.441,1,1.731833045
3,Picramniaceae,1.655,1,1.624264437
4,Picramniaceae,1.735,1,1.544212949
5,Picramniaceae,1.24,1,1.818104723
6,Picramniaceae,1.045,1,2.136405533
7,Picramniaceae,1.083,1,2.15869706
8,Picramniaceae,0.975,1,2.753846894
1,Piperaceae,0.356,8,6.487825277
2,Piperaceae,0.38,8,7.067666929
3,Piperaceae,0.441,8,3.631604554
4,Piperaceae,0.372,8,1.75289386
5,Piperaceae,0.209,8,1.629084159
6,Piperaceae,0.179,7,1.691668486
7,Piperaceae,0.206,7,1.589169463
8,Piperaceae,0.246,9,1.527666889
1,Burseraceae,0.924,6,4.910371536
2,Burseraceae,0.911,6,5.221127181
3,Burseraceae,0.927,6,5.435714296
4,Burseraceae,0.976,6,5.301051775
5,Burseraceae,1.031,6,5.027252144
6,Burseraceae,1.083,6,4.817796217
7,Burseraceae,1.12,6,4.63054798
8,Burseraceae,1.158,6,4.788420901
1,Simaroubaceae,0.813,2,2.317718932
2,Simaroubaceae,0.803,2,2.228634511
3,Simaroubaceae,0.937,2,2.07743973
4,Simaroubaceae,1.067,2,1.903799829
5,Simaroubaceae,1.029,2,2.127002262
6,Simaroubaceae,1.16,2,2.135072764
7,Simaroubaceae,1.317,2,1.932601788
8,Simaroubaceae,1.392,2,2.07579452
1,Siparunaceae,0.658,2,1.453254715
2,Siparunaceae,0.569,2,1.427855687
3,Siparunaceae,0.751,2,1.285847068
4,Siparunaceae,1.289,2,1.117716395
5,Siparunaceae,0.621,2,1.423760974
6,Siparunaceae,0.731,2,1.330534478
7,Siparunaceae,1.227,2,1.205117462
8,Siparunaceae,0.719,2,1.598825445
1,Elaeocarpaceae,1.039,1,1.448013106
2,Elaeocarpaceae,1.039,1,1.452893407
3,Elaeocarpaceae,0.99,1,1.44750283
4,Elaeocarpaceae,1.009,1,1.397776524
5,Elaeocarpaceae,1.087,1,1.345012724
6,Elaeocarpaceae,1.009,1,1.348113632
7,Elaeocarpaceae,1.003,1,1.321665477
8,Elaeocarpaceae,1.065,1,1.307192095
1,Combretaceae,0.086,2,1.644349246
2,Combretaceae,0.091,2,1.601281025
3,Combretaceae,0.101,2,1.563548928
4,Combretaceae,0.106,2,1.574915104
5,Combretaceae,0.117,2,1.524772759
6,Combretaceae,0.104,2,1.583489693
7,Combretaceae,0.094,2,1.702556248
8,Combretaceae,0.062,2,2.748109599
1,Pentaphylacaceae,0.998,1,1
2,Pentaphylacaceae,0.628,1,1
3,Pentaphylacaceae,0.033,1,1
4,Pentaphylacaceae,1,1,1
5,Pentaphylacaceae,0.345,1,1
1,Staphyleaceae,0.572,1,1.244608759
2,Staphyleaceae,0.376,1,1.300020547
3,Staphyleaceae,0.823,1,1.074035699
4,Staphyleaceae,0.374,1,1.165580566
5,Staphyleaceae,0.348,1,1.165554666
6,Staphyleaceae,0.146,1,1.345076061
7,Staphyleaceae,0.141,1,1.595943421
8,Staphyleaceae,0.175,1,1.241907812
1,Myristicaceae,1.635,3,2.181138613
2,Myristicaceae,1.517,3,2.202868204
3,Myristicaceae,1.528,3,2.088337112
4,Myristicaceae,1.598,3,1.956797288
5,Myristicaceae,1.731,3,1.75842406
6,Myristicaceae,1.743,3,1.648057915
7,Myristicaceae,1.673,3,1.660976803
8,Myristicaceae,1.531,3,1.608004922
1,Hypericaceae,0.034,3,3.547232723
2,Hypericaceae,0.043,2,2.715149898
3,Hypericaceae,0.054,2,2.501866553
4,Hypericaceae,0.041,3,3.294787181
5,Hypericaceae,0.032,3,3.413270968
6,Hypericaceae,0.022,2,2.477092785
7,Hypericaceae,0.03,3,2.443618387
8,Hypericaceae,0.044,2,1.797943618
1,Vochysiaceae,0.05,1,1.44454387
2,Vochysiaceae,0.066,1,1.335811506
3,Vochysiaceae,0.161,1,1.121354226
4,Vochysiaceae,0.122,1,1.14091273
5,Vochysiaceae,0.048,1,1.26993023
6,Vochysiaceae,0.022,1,1.720517154
7,Vochysiaceae,0.015,1,2.369434942
8,Vochysiaceae,0.012,1,3.235346172
1,Rutaceae,0.207,4,2.77661245
2,Rutaceae,0.185,4,2.936308137
3,Rutaceae,0.192,4,2.714644156
4,Rutaceae,0.172,4,2.858860245
5,Rutaceae,0.16,4,3.622696941
6,Rutaceae,0.153,4,2.75923965
7,Rutaceae,0.151,4,3.300948242
8,Rutaceae,0.166,3,2.967497885
