"","x1","y1","x2","y2","SDI1","SDI2","SDI3","SDI4","SDI5","SDI6","SDI7","SDI8","ID"
"56",100,20,120,40,672.97596236835,615.878507341015,642.431553591111,622.705235525888,620.195384179765,668.355120119605,671.14006921083,688.787732242459,56
"57",120,20,140,40,674.261870389338,694.869526202665,702.632591665655,727.769397827113,729.297525971061,734.533104969293,721.164835688878,685.802039422931,57
"58",140,20,160,40,645.999187340127,659.226944029559,657.110424514994,609.335416554688,663.305289404681,699.403978259447,664.395893490193,698.206541339632,58
"59",160,20,180,40,881.550433523217,818.36252212461,798.59567256002,707.309002132393,780.510733631931,720.633122801355,687.61663753704,597.503798518861,59
"60",180,20,200,40,712.080618331358,698.057261136075,811.870987539365,760.919221789887,694.52316801043,684.774011394916,688.289948101431,722.364282990861,60
"61",200,20,220,40,506.06071126154,447.984230226819,521.29349564784,559.907808584099,592.459489158425,593.764961892699,603.000705706055,648.019240443256,61
"62",220,20,240,40,793.698343518897,681.556182059276,659.133233771431,635.06062028115,673.887187194843,684.189290466505,721.844538826403,646.431352838921,62
"63",240,20,260,40,780.459051091997,837.901657318351,881.4156447357,858.86629887135,761.567307138071,777.411818150576,821.833006946493,722.986333713433,63
"64",260,20,280,40,750.331909202186,631.571902828985,619.725015692635,619.659624347108,635.328007939615,670.300058664036,542.368207272695,546.594415624427,64
"65",280,20,300,40,855.649748463602,1165.09670931473,1110.31340931893,1178.36112260264,1083.04123996199,1199.85131938632,1219.93588489511,1229.53639648124,65
"66",300,20,320,40,367.43879974774,410.689408233652,448.104356069483,422.258838320303,399.276900285557,397.54656919234,409.121073351783,375.313825179993,66
"67",320,20,340,40,557.302296587051,572.836852080921,564.103399775793,501.546766315206,524.395813682194,433.657973909803,391.250540771377,418.780363693577,67
"68",340,20,360,40,513.425822434934,541.216410299668,583.167229337082,634.340974989233,604.823528112568,575.447443864496,462.43788621475,526.321620235866,68
"69",360,20,380,40,460.597332487206,406.147452313707,463.289445527155,410.472733043647,428.643818145998,269.384913655137,366.119952885718,377.167020530329,69
"70",380,20,400,40,360.837433525767,405.240235291676,418.739771929822,383.244251394322,367.657518420071,462.961882356574,499.233460984737,546.39004130341,70
"71",400,20,420,40,830.27798852336,531.633618579845,649.406263712304,674.412089071291,687.331782613251,500.51240618225,556.45168527793,583.899998062112,71
"72",420,20,440,40,666.554666640762,635.725334697277,593.796596851325,587.846987809317,567.875576139403,430.997672803506,508.676880790072,511.987065128431,72
"73",440,20,460,40,684.257435724567,517.928190274964,512.035514204283,520.577707563226,540.782349342083,506.740556918465,530.03415114861,608.099908536595,73
"74",460,20,480,40,438.736833276344,428.136647740781,484.820341355004,590.387026047704,634.548457439252,607.943101978656,616.721906665708,644.288724370113,74
"75",480,20,500,40,1140.3497689232,954.876315323139,904.652824804149,983.784946934414,1013.85076301419,1023.84305993583,918.668700422751,832.046136012372,75
"76",500,20,520,40,667.761350285048,561.190269210576,656.253766758937,707.654712587214,697.32438563441,710.693097903119,646.353603855866,633.28488420908,76
"77",520,20,540,40,617.886027616123,394.218477868053,398.737331627691,484.413339359091,491.562027352793,451.993413580852,465.913650224954,452.15487899011,77
"78",540,20,560,40,530.487934851996,571.045367455383,522.549847904234,566.286096664559,566.293737610299,544.195018619951,441.217958275446,398.790361584757,78
